instance,portfolio,backend_scope,raw_min_primal,raw_min_primal_source,excluded_primal_candidates,selected_primal,primal_source,selected_dual,dual_source,portfolio_gap_fraction,portfolio_gap_state,primal_evidence_note,gurobi_baseline_primal,gurobi_baseline_dual,gurobi_baseline_gap_fraction,original_copt_primal,original_copt_dual,original_copt_gap_fraction,original_copt_gap_state,original_copt_time_seconds,original_copt_result,gurobi_minus_portfolio_gap_pp,portfolio_vs_gurobi,copt_minus_portfolio_gap_pp,portfolio_vs_copt
sct1,primal_dual,all_available,-187.52765083903063,primal skill,[],-187.52765083903063,primal skill,-199.81870652161473,dual skill Gurobi,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,available,historically accepted numerical witness; not uniformly revalidated,-187.52764944960393,-200.2450490980,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,-170.822429,-202.560756,0.156685468729194513867236948898433218722781623109660984875076196891761205709560049232833629,available,36000.0,stop,0.199814773938782269273711728047505220284027017955716258007629241451359737147616265413927513,win,9.51744325677500619117332645575288507477736168877832789573082160767715796404971946010714874,win
sct1,primal_dual,gurobi_only,-187.52765083903063,primal skill,[],-187.52765083903063,primal skill,-199.81870652161473,dual skill Gurobi,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,available,historically accepted numerical witness; not uniformly revalidated,-187.52764944960393,-200.2450490980,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,-170.822429,-202.560756,0.156685468729194513867236948898433218722781623109660984875076196891761205709560049232833629,available,36000.0,stop,0.199814773938782269273711728047505220284027017955716258007629241451359737147616265413927513,win,9.51744325677500619117332645575288507477736168877832789573082160767715796404971946010714874,win
shipsched,three_skills,all_available,111919.8337342348,general skill,[],111919.8337342348,general skill,85777.6824670317,dual skill Gurobi,0.233579253962084478655357672231151297383503720881022242051297649022706109017721502377465630,available,historically accepted numerical witness; not uniformly revalidated,111919.9869111547,81014.60455187,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,130497.996,67029.7019,0.486354549843048930805037036737330433794554209092988677006197091333111352913036304404245411,available,36000.0,stop,4.25589337935867235992399329818514580084424352923525263809961584613643905085560404492860042,win,25.2775295880964452149679364506179136411050488211966434954899442310405243895314802026779781,win
shipsched,three_skills,gurobi_only,111919.8337342348,general skill,[],111919.8337342348,general skill,85777.6824670317,dual skill Gurobi,0.233579253962084478655357672231151297383503720881022242051297649022706109017721502377465630,available,historically accepted numerical witness; not uniformly revalidated,111919.9869111547,81014.60455187,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,130497.996,67029.7019,0.486354549843048930805037036737330433794554209092988677006197091333111352913036304404245411,available,36000.0,stop,4.25589337935867235992399329818514580084424352923525263809961584613643905085560404492860042,win,25.2775295880964452149679364506179136411050488211966434954899442310405243895314802026779781,win
shipsched,primal_dual,all_available,111919.99954622652,primal skill,[],111919.99954622652,primal skill,85777.6824670317,dual skill Gurobi,0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,available,historically accepted numerical witness; not uniformly revalidated,111919.9869111547,81014.60455187,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,130497.996,67029.7019,0.486354549843048930805037036737330433794554209092988677006197091333111352913036304404245411,available,36000.0,stop,4.25577983240467725535304186648557132747028497647966487420972811824532762972177053304389143,win,25.2774160411424501103969850189183391677310902684410557316000565031494129683976466907932691,win
shipsched,primal_dual,gurobi_only,111919.99954622652,primal skill,[],111919.99954622652,primal skill,85777.6824670317,dual skill Gurobi,0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,available,historically accepted numerical witness; not uniformly revalidated,111919.9869111547,81014.60455187,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,130497.996,67029.7019,0.486354549843048930805037036737330433794554209092988677006197091333111352913036304404245411,available,36000.0,stop,4.25577983240467725535304186648557132747028497647966487420972811824532762972177053304389143,win,25.2774160411424501103969850189183391677310902684410557316000565031494129683976466907932691,win
rocII-8-11,three_skills,all_available,-8.739845027008393,general skill,[],-8.739845027008393,general skill,-11.82,dual skill Gurobi,0.260588407190491285956006768189509306260575296108291032148900169204737732656514382402707276,available,historically accepted numerical witness; not uniformly revalidated,-8.739844934961763,-11.8377922287,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,-4.72446527,-11.889881,0.602648229195901960667226190068681091089137056964657594134037169926259144225244979323174050,available,36000.0,stop,0.111134508489112105199299369771209925089716087745842918300177614064636426887990000758744920,win,34.2059822005410674711219421879171784828561760856366561985137000721521411568730596920466774,win
rocII-8-11,three_skills,gurobi_only,-8.739845027008393,general skill,[],-8.739845027008393,general skill,-11.82,dual skill Gurobi,0.260588407190491285956006768189509306260575296108291032148900169204737732656514382402707276,available,historically accepted numerical witness; not uniformly revalidated,-8.739844934961763,-11.8377922287,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,-4.72446527,-11.889881,0.602648229195901960667226190068681091089137056964657594134037169926259144225244979323174050,available,36000.0,stop,0.111134508489112105199299369771209925089716087745842918300177614064636426887990000758744920,win,34.2059822005410674711219421879171784828561760856366561985137000721521411568730596920466774,win
rocII-8-11,primal_dual,all_available,-8.739844934961763,primal skill,[],-8.739844934961763,primal skill,-11.82,dual skill Gurobi,0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,available,historically accepted numerical witness; not uniformly revalidated,-8.739844934961763,-11.8377922287,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,-4.72446527,-11.889881,0.602648229195901960667226190068681091089137056964657594134037169926259144225244979323174050,available,36000.0,stop,0.111133729752817688955644547436184544379056189268685557894086243506260792370223503296815986,win,34.2059814218047730548782873655821531021455161871594988381076087015937655223552931945847485,win
rocII-8-11,primal_dual,gurobi_only,-8.739844934961763,primal skill,[],-8.739844934961763,primal skill,-11.82,dual skill Gurobi,0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,available,historically accepted numerical witness; not uniformly revalidated,-8.739844934961763,-11.8377922287,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,-4.72446527,-11.889881,0.602648229195901960667226190068681091089137056964657594134037169926259144225244979323174050,available,36000.0,stop,0.111133729752817688955644547436184544379056189268685557894086243506260792370223503296815986,win,34.2059814218047730548782873655821531021455161871594988381076087015937655223552931945847485,win
