instance,portfolio,backend_scope,direct_gurobi_primal,direct_gurobi_dual,direct_gurobi_gap_fraction,portfolio_gap_fraction,gap_reduction_pp,verdict,direct_gurobi_runtime_seconds
ns1856153,three_skills,gurobi_only,34.943478676096305,0.06318419472889095,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,0.0387985031185010532698004590267387233967378697930347376865081921984236461203723758104918452,95.9393314149763276734536622724741912083823454770610276030039110121283955507827366034386067,win,9000.032253026962
ns1856153,primal_dual,all_available,34.943478676096305,0.06318419472889095,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,0.0387985031185013358350637834418308039774162535665526256132568964194569475071283934901372227,95.9393314149762994169273298309649831503145070997092388103290405900250654121071348354740689,win,9000.032253026962
ns1856153,primal_dual,gurobi_only,34.943478676096305,0.06318419472889095,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,0.0387985031185013358350637834418308039774162535665526256132568964194569475071283934901372227,95.9393314149762994169273298309649831503145070997092388103290405900250654121071348354740689,win,9000.032253026962
dc1l,three_skills,all_available,1760402.7301,1749671.934482756,0.00609564813423939372473937292038058967788691229319515357186504967690745119005198025396995492,0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,0.0567736307439828241572803519175616020860540437830005018256828541405845968246748474749780637,win,9000.052044153214
dc1l,three_skills,gurobi_only,1760402.7301,1749671.934482756,0.00609564813423939372473937292038058967788691229319515357186504967690745119005198025396995492,0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,0.0567736307439828241572803519175616020860540437830005018256828541405845968246748474749780637,win,9000.052044153214
dc1l,primal_dual,all_available,1760402.7301,1749671.934482756,0.00609564813423939372473937292038058967788691229319515357186504967690745119005198025396995492,0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,0.0567736307439828241572803519175616020860540437830005018256828541405845968246748474749780637,win,9000.052044153214
dc1l,primal_dual,gurobi_only,1760402.7301,1749671.934482756,0.00609564813423939372473937292038058967788691229319515357186504967690745119005198025396995492,0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,0.0567736307439828241572803519175616020860540437830005018256828541405845968246748474749780637,win,9000.052044153214
neos-5221106-oparau,three_skills,all_available,61.95999976028899,0.0,1,0.183022853850585749951987708853466487420779719608219704244286537353562512003072786633378145,81.6977146149414250048012291146533512579220280391780295755713462646437487996927213366621855,win,9000.024267911911
neos-5221106-oparau,three_skills,gurobi_only,61.95999976028899,0.0,1,0.183022853850585749951987708853466487420779719608219704244286537353562512003072786633378145,81.6977146149414250048012291146533512579220280391780295755713462646437487996927213366621855,win,9000.024267911911
neos-5221106-oparau,primal_dual,all_available,61.95999976028899,0.0,1,0.530674554777438611284048137966058248306292521399930821931994151769742437018752088515778757,46.9325445222561388715951862033941751693707478600069178068005848230257562981247911484221243,win,9000.024267911911
neos-5221106-oparau,primal_dual,gurobi_only,61.95999976028899,0.0,1,0.530674554777438611284048137966058248306292521399930821931994151769742437018752088515778757,46.9325445222561388715951862033941751693707478600069178068005848230257562981247911484221243,win,9000.024267911911
zeil,three_skills,all_available,1282.556499999999,822.8622174549745,0.358420297698405378960145380266194089808425801275881264042403805119902353154660336525021046,0.228903962808353215117760190851594101604648037612409316504584487537314349084061874665573546,12.9516334890052163842385189414599988203777763663471947537819317582588004070598461859447500,win,9000.131647109985
zeil,three_skills,gurobi_only,1282.556499999999,822.8622174549745,0.358420297698405378960145380266194089808425801275881264042403805119902353154660336525021046,0.228903962808353215117760190851594101604648037612409316504584487537314349084061874665573546,12.9516334890052163842385189414599988203777763663471947537819317582588004070598461859447500,win,9000.131647109985
zeil,primal_dual,all_available,1282.556499999999,822.8622174549745,0.358420297698405378960145380266194089808425801275881264042403805119902353154660336525021046,0.241052260403317675996065461557905430593923137481702248241391600726780074342786326082376417,11.7368037295087702964079918708288659214502663794179015801012204393122278811874010442644629,win,9000.131647109985
zeil,primal_dual,gurobi_only,1282.556499999999,822.8622174549745,0.358420297698405378960145380266194089808425801275881264042403805119902353154660336525021046,0.244205759256525338685372602983804918577475800052133127800352515726921088893533416269842675,11.4214538441880040274772777282389171230950001223748136242051289392981264261126920255178371,win,9000.131647109985
cdma,three_skills,all_available,-2.296610845333332e+16,-3.1763447999999988e+16,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,0.0825060017810304252613895104695509136614197111500100377811672631350956926416479365167163889,19.4458248027953515133588947404647276023198107746045460205506814334893580566000352795932493,win,9000.016633033752
cdma,three_skills,gurobi_only,-2.296610845333332e+16,-3.1763447999999988e+16,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,0.0825060017810304252613895104695509136614197111500100377811672631350956926416479365167163889,19.4458248027953515133588947404647276023198107746045460205506814334893580566000352795932493,win,9000.016633033752
cdma,primal_dual,all_available,-2.296610845333332e+16,-3.1763447999999988e+16,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,0.0825060017810306449254587551015101008452620954002258495416381260736834933647055677667795700,19.4458248027953295469519702772688088839355723495829648445035951396305779842942721545869312,win,9000.016633033752
cdma,primal_dual,gurobi_only,-2.296610845333332e+16,-3.1763447999999988e+16,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,0.0825060017810306449254587551015101008452620954002258495416381260736834933647055677667795700,19.4458248027953295469519702772688088839355723495829648445035951396305779842942721545869312,win,9000.016633033752
ns1456591,three_skills,all_available,988.1412834399999,451.4932445287501,0.543088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,0,54.3088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,win,9000.020987033844
ns1456591,three_skills,gurobi_only,988.1412834399999,451.4932445287501,0.543088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,0,54.3088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,win,9000.020987033844
ns1456591,primal_dual,all_available,988.1412834399999,451.4932445287501,0.543088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,0,54.3088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,win,9000.020987033844
ns1456591,primal_dual,gurobi_only,988.1412834399999,451.4932445287501,0.543088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,0,54.3088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,win,9000.020987033844
seqsolve1,three_skills,all_available,4277.0,4275.0,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,-4.89829319616553659106850596212298339957914425999532382511105915361234510170680383446340893E-92,tie,9000.163169145584
seqsolve1,three_skills,gurobi_only,4277.0,4275.0,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,-4.89829319616553659106850596212298339957914425999532382511105915361234510170680383446340893E-92,tie,9000.163169145584
seqsolve1,primal_dual,all_available,4277.0,4275.0,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,-4.89829319616553659106850596212298339957914425999532382511105915361234510170680383446340893E-92,tie,9000.163169145584
